PC,feature,mean_corr,mean_abs_corr,max_abs_corr
1,fractional_lsm,-0.741558129000369,0.741558129000369,0.801121031232096
1,binary_land,-0.7297022383329244,0.7297022383329244,0.7884185299597776
4,latitude,0.5932793102568084,0.5932793102568084,0.6810288714019705
1,elevation,-0.4669565508092095,0.4669565508092095,0.5099396681869914
3,u850,-0.461603400421363,0.461603400421363,0.5657534739305098
3,t850,0.46013444391164066,0.46013444391164066,0.5983429093266833
1,2t,0.4425132542640939,0.4425132542640939,0.5975669030723839
1,q850,0.41664526985201983,0.41664526985201983,0.5404278966589793
2,q850,-0.4019229878695809,0.4019229878695809,0.5435367059554781
3,2t,0.4006015772393961,0.4006015772393961,0.5419218916832452
3,z500,0.394972591977299,0.394972591977299,0.5438316311435293
5,t850,-0.38419767793447185,0.38419767793447185,0.5960247530120195
9,u850,0.3778576605537139,0.3778576605537139,0.5336877504696851
7,latitude,0.3514675003397141,0.3514675003397141,0.4642450391055804
5,z500,-0.3467340396728319,0.3467340396728319,0.5902686993591278
2,msl,0.3408894962610091,0.3408894962610091,0.4287196352102737
3,q850,0.33200757967876504,0.33200757967876504,0.486796040357227
1,z500,0.33173592685805087,0.33173592685805087,0.4911893876025112
10,v850,0.3130992012632614,0.3130992012632614,0.49221164041750437
5,2t,-0.3120440544527912,0.3120440544527912,0.5475082099754387
11,v850,0.30684537209079027,0.30684537209079027,0.39703152352954624
18,elevation,0.28677434165196375,0.28677434165196375,0.38426749847727926
10,u850,-0.28508423038896463,0.28508423038896463,0.44950372044381237
7,msl,0.27677473836300404,0.27677473836300404,0.4208259587187004
1,t850,0.2698896475829133,0.2698896475829133,0.45660821746655883
6,msl,-0.2606704751867461,0.2606704751867461,0.40528724223267576
12,msl,-0.2606150269459503,0.2606150269459503,0.4103867004980258
38,sin_local_time,-0.23510007419583526,0.23510007419583526,0.4020603021787455
4,msl,0.22405960564929353,0.22405960564929353,0.42634061521363775
4,z500,0.22334239248796106,0.22334239248796106,0.40268935878916146
1,cos_longitude,-0.21833670119926607,0.21833670119926607,0.31809580491910205
4,t850,0.20777011108141913,0.21073930864615653,0.4447795515929857
31,sin_local_time,0.20739091654555428,0.20739091654555428,0.37169278971175534
8,fractional_lsm,-0.20519416128662854,0.20519416128662854,0.33463958320523596
5,latitude,0.17881299929277172,0.20372976796001957,0.4372777206616051
8,binary_land,-0.20294295407676258,0.20294295407676258,0.33067504937295406
5,q850,-0.2015246244673707,0.20225644456389247,0.45691051580616393
2,fractional_lsm,-0.20069047571235515,0.20069047571235515,0.30942916123856373
18,u850,-0.197310438012208,0.197310438012208,0.3213076977790964
2,binary_land,-0.19598516246241027,0.19598516246241027,0.3033281746579844
19,sin_local_time,-0.19439861015678533,0.194782083938989,0.37328622209311035
20,elevation,0.19417795498009222,0.19417795498009222,0.3251413698560468
36,sin_local_time,0.1931100925926825,0.1931100925926825,0.29979487701187574
34,sin_local_time,-0.19165002031830633,0.19165002031830633,0.33839305785973905
25,t850,-0.18847479792875285,0.18847479792875285,0.29020143331497794
25,v850,0.18724301237715996,0.18724301237715996,0.2912831233100847
21,elevation,0.18709837590993889,0.18709837590993889,0.29884718850081
26,latitude,-0.1851275615262421,0.18515463412682523,0.382558092440859
15,u850,0.18368743237028096,0.18391251870121672,0.3932516439043432
15,v850,0.1814781564284894,0.1814781564284894,0.2747630002593724
25,z500,-0.1811448368426648,0.1811448368426648,0.2782990790238487
29,cos_local_time,0.1801458292297437,0.18024056738456376,0.3804415474005996
8,q850,-0.17905656911749063,0.17905656911749063,0.31956773641379344
7,z500,0.1771642141687143,0.17723982157381654,0.3583947038618814
23,elevation,-0.17618873643666386,0.17618873643666386,0.2674238846552467
17,fractional_lsm,-0.17589745017987263,0.17598866420489576,0.34248661961482835
1,cos_local_time,-0.0058624610768414805,0.17485659515919763,0.3180957967362354
17,binary_land,-0.1747953216225606,0.1748500438055965,0.33925762291863415
25,2t,-0.17398061031875067,0.17398061031875067,0.2878297438279799
22,v850,-0.17279129088842163,0.17279129088842163,0.28617477539621106
15,elevation,0.17189086945006404,0.17189086945006404,0.308058999313298
1,sin_local_time,0.012442305390047287,0.17002134154630077,0.30400694104693426
12,u850,-0.16887119339579434,0.16901936945655888,0.3597474161767323
4,q850,0.15799488803922107,0.16868645132791016,0.39113167006183386
46,sin_local_time,-0.166500392484984,0.166500392484984,0.2980997343015028
17,elevation,-0.16629665505685426,0.16629665505685426,0.287422982746551
33,z500,0.1660091051681631,0.16603541498083718,0.29895436905871453
23,latitude,0.16586506174182977,0.16586506174182977,0.24459205205699786
24,v850,0.16444481511427894,0.16444481511427894,0.2607740221085966
7,fractional_lsm,0.16327972202711605,0.16404308202654652,0.4137852288688205
10,msl,0.16389239382693063,0.16394159556209395,0.32874782121641466
16,u850,-0.16286205658761962,0.1629567343733796,0.3210211858315604
2,sin_longitude,-0.16267182421074888,0.16267182421074888,0.2750134469913097
7,binary_land,0.1591174849784475,0.16008600645687474,0.40593042169471827
15,q850,-0.14636483501257277,0.15974723715715783,0.45253560692719275
13,elevation,-0.15876108772688113,0.15876259432040685,0.3029044213640472
8,latitude,-0.1580241764092325,0.15810332970845167,0.3453862843449614
29,latitude,0.05781920843367952,0.1570136968121448,0.34745577692592233
16,t850,-0.15307259002484325,0.15406068958068034,0.39649522915282875
15,2t,-0.14160983026056595,0.1531586632462061,0.38648147608680344
34,z500,-0.15090172055381895,0.15090172055381895,0.297854646844886
35,latitude,0.1490163233792391,0.1508528246808584,0.33771243758142905
17,sin_local_time,0.1485476267891662,0.1485713335185656,0.31741519802325885
11,q850,0.14771519935468722,0.14771519935468722,0.2847318096043531
16,2t,-0.13800413782817053,0.14761130497240257,0.409428081252151
17,q850,-0.147267853311086,0.14751399721598704,0.29636750669359335
